sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,1,conformal_qrf_split,continuous_pdv,10000,0.29096234259940684,0.1734292194817785,0.41644833951137145,0.8434140209172873,0.9218710371465453,default,mse
0.0,3,conformal_qrf_split,continuous_pdv,10000,0.31695558386237827,0.2078813879581486,0.45594011444283844,0.8090370054932825,0.905088549436331,default,mse
0.0,4,conformal_qrf_split,continuous_pdv,10000,0.30083391722311353,0.17989824998761117,0.42414413822144376,0.8376147612116869,0.9162611393517491,default,mse
0.0,5,conformal_qrf_split,continuous_pdv,10000,0.2877277289574267,0.16543622548139236,0.4067385222491132,0.8576383530842098,0.9277567532294057,default,mse
0.0,6,conformal_qrf_split,continuous_pdv,10000,0.3042818530754885,0.19434693853270385,0.4408479766684927,0.818969772918084,0.9089483641615552,default,mse
0.0,7,conformal_qrf_split,continuous_pdv,10000,0.3026249707130146,0.1787937491966599,0.42284009885139784,0.851674608980711,0.9265831580564344,default,mse
0.0,8,conformal_qrf_split,continuous_pdv,10000,0.27590351818175984,0.14884531521436278,0.3858047630788956,0.8554668222618496,0.9268425657709697,default,mse
0.0,9,conformal_qrf_split,continuous_pdv,10000,0.2737985043891531,0.1539672407218888,0.39238659600181147,0.8587181949405172,0.9285229444263987,default,mse
0.0,11,conformal_qrf_split,continuous_pdv,10000,0.2830116734247422,0.16963925902650123,0.41187286755320657,0.8418611262626837,0.9203127153181714,default,mse
0.0,12,conformal_qrf_split,continuous_pdv,10000,0.3009350870871567,0.19877815587847555,0.44584543945012556,0.8317916815140195,0.9142953466256697,default,mse
0.0,13,conformal_qrf_split,continuous_pdv,10000,0.288628511749499,0.1811372710168857,0.4256022450797055,0.8363742868466019,0.9160752332162644,default,mse
0.0,14,conformal_qrf_split,continuous_pdv,10000,0.2726563646087452,0.1531096980102749,0.3912923434087037,0.858467736938635,0.9276779398825699,default,mse
0.0,15,conformal_qrf_split,continuous_pdv,10000,0.28823582857355723,0.17222648474258195,0.4150017888426289,0.8509474511817786,0.9239573024686716,default,mse
0.0,16,conformal_qrf_split,continuous_pdv,10000,0.28702724090008996,0.17530009551152234,0.41868854236953074,0.8388892601522999,0.9206459391013724,default,mse
0.0,17,conformal_qrf_split,continuous_pdv,10000,0.2873553301485372,0.17944117420235273,0.42360497424174887,0.8405425896103961,0.9191722091030607,default,mse
0.0,18,conformal_qrf_split,continuous_pdv,10000,0.2778295588883338,0.14647029462713385,0.38271437734573527,0.858433226434742,0.9278690215047699,default,mse
0.0,19,conformal_qrf_split,continuous_pdv,10000,0.2719547067801468,0.15218684896279677,0.39011132893418615,0.8589776168695069,0.9292620682626047,default,mse
0.0,20,conformal_qrf_split,continuous_pdv,10000,0.2728296906381147,0.15161176740422772,0.38937355765925824,0.8575034663752598,0.9280902051966932,default,mse
0.0,21,conformal_qrf_split,continuous_pdv,10000,0.2966377632545773,0.193466182264171,0.43984790810480273,0.8192835090995568,0.9082164275179233,default,mse
0.0,22,conformal_qrf_split,continuous_pdv,10000,0.2829881851259561,0.16498536196392394,0.4061839016553019,0.8429766823099214,0.9192453043084818,default,mse
0.0,24,conformal_qrf_split,continuous_pdv,10000,0.29113689332047943,0.1812082094326583,0.42568557578646976,0.8373865671093987,0.9169746387845912,default,mse
0.0,25,conformal_qrf_split,continuous_pdv,10000,0.28345893842493386,0.1777709691997598,0.4216289472981662,0.8375660830782719,0.9171107846174789,default,mse
0.0,27,conformal_qrf_split,continuous_pdv,10000,0.2950326887681731,0.1830514050750829,0.4278450713460223,0.8380926543064944,0.9163370821679,default,mse
0.0,28,conformal_qrf_split,continuous_pdv,10000,0.29020040740820696,0.18329345862412869,0.4281278531281616,0.8286614736200832,0.9112086796757397,default,mse
0.0,29,conformal_qrf_split,continuous_pdv,10000,0.291966077035846,0.1772737538688538,0.4210388982847711,0.8395156220565761,0.9177082886945196,default,mse
0.0,30,conformal_qrf_split,continuous_pdv,10000,0.2788758392168675,0.16271364222565574,0.4033777909425056,0.8568418878564662,0.9259674412088508,default,mse
0.0,31,conformal_qrf_split,continuous_pdv,10000,0.28388708833092824,0.17220665052069103,0.4149778916047107,0.8403881245448881,0.918793247581613,default,mse
0.0,32,conformal_qrf_split,continuous_pdv,10000,0.29725066493838675,0.18025354912592087,0.42456277406989046,0.8407940134329593,0.9188572634515441,default,mse
0.0,33,conformal_qrf_split,continuous_pdv,10000,0.28329737479795586,0.17846941780320827,0.42245640935273815,0.8399516642773479,0.9202543300368753,default,mse
0.0,34,conformal_qrf_split,continuous_pdv,10000,0.287334455359407,0.17077913431090572,0.4132543215876946,0.8472941857394991,0.9218621262276291,default,mse
0.0,35,conformal_qrf_split,continuous_pdv,10000,0.2791566721734125,0.15992728569749015,0.3999090967926213,0.8538413217137626,0.925631900185798,default,mse
0.0,36,conformal_qrf_split,continuous_pdv,10000,0.30254324939195065,0.18920860838986198,0.4349811586607654,0.8331683488692554,0.9151934483227359,default,mse
0.0,38,conformal_qrf_split,continuous_pdv,10000,0.31340032344718927,0.2145491898939696,0.4631945486444865,0.803175965989537,0.8988485841976852,default,mse
