sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
1.0,8,gauche,sns,10000,0.43444036383121115,0.4716216787585765,0.686747172370281,0.5496027565269241,0.7430011062625385,default,mse
1.0,9,gauche,sns,10000,0.44673223683958146,0.4978553455199668,0.7055886517794676,0.5558539070307009,0.7487817669504748,default,mse
0.0,0,gauche,sns,10000,0.304807828164511,0.1716326028040662,0.4142856536305188,0.8485381913503511,0.9223145413018505,default,mse
0.0,1,gauche,sns,10000,0.2990474150962468,0.1762985701888731,0.41987923286210893,0.8408233381526147,0.9186226182190611,default,mse
0.0,2,gauche,sns,10000,0.2901545532321295,0.15379713113155327,0.3921697733527576,0.8604157976143745,0.9279834998180653,default,mse
0.0,3,gauche,sns,10000,0.2990601429554446,0.17579692039463674,0.41928143340080865,0.8385102838048328,0.9171995441293199,default,mse
0.0,4,gauche,sns,10000,0.28248108560296964,0.14450097983546248,0.38013284498377997,0.8695661235318146,0.9340848453153159,default,mse
0.0,5,gauche,sns,10000,0.29087284884990544,0.1696884367769636,0.41193256338503226,0.8539792282383064,0.9250206891622192,default,mse
0.0,6,gauche,sns,10000,0.2755038503317261,0.1556440417723282,0.3945174796790735,0.8550207353986674,0.9263928593265516,default,mse
0.0,7,gauche,sns,10000,0.29628598538133294,0.16812111409607483,0.4100257480891594,0.8605285134466846,0.9290114497465009,default,mse
